id,country,Year
5uwns89zht,NDF,2014
jtl0dijy2j,NDF,2014
xx0ulgorjt,NDF,2014
6c6puo6ix0,NDF,2014
czqhjk3yfe,US,2014
szx28ujmhf,US,2014
guenkfjcbq,NDF,2014
tkpq0mlugk,NDF,2014
3xtgd5p9dn,NDF,2014
md9aj22l5a,NDF,2014
gg3eswjxdf,NDF,2014
fyomoivygn,US,2014
iq4kkd5oan,NDF,2014
6k1xls6x5j,NDF,2014
jodmb2ok1f,NDF,2014
eq6fy0m4vc,FR,2014
yq4i7nfh6l,NDF,2014
q5pibqdous,US,2014
i0sc6d3j8s,US,2014
br5mcrsqzn,NDF,2014
rddbczuxx1,US,2014
glck7hlmzz,NDF,2014
sxpkaxep8n,NDF,2014
sr4ntmalz2,NDF,2014
f6wueq1ccn,NDF,2014
ovc6nwn6mj,US,2014
n10skstp90,US,2014
5jrbdigmv4,NDF,2014
d45nngmojp,US,2014
y0frb6t1kq,NDF,2014
qmu1dyhecs,US,2014
zh9czv7f70,NDF,2014
2016g8ddq0,NDF,2014
e3slm56xll,NDF,2014
88cbtox128,NDF,2014
axonoz3dej,NDF,2014
vhds8tixz6,US,2014
xp1zfu6j6u,NDF,2014
uuo66r9x53,NDF,2014
kkwypqtlra,US,2014
l2jsjvniuk,NDF,2014
0cvk7jktso,US,2014
c4q1tm2y1k,US,2014
vuwfq20pw3,US,2014
t8hk5t7mcf,NDF,2014
p2l7d6qu1u,NDF,2014
tvlh11azwo,NDF,2014
gemyhv9gb9,NDF,2014
hiv4ovzlub,NDF,2014
ckmvpcz1s0,NDF,2014
586v6ps2m8,NDF,2014
l3pmdh5txj,NDF,2014
6n6tybnvcx,US,2014
yotwtxcm6v,NDF,2014
ur4dlks25n,NDF,2014
m6bodat9ft,NDF,2014
mqinin79lg,NDF,2014
uqnxmlkhnp,NDF,2014
kzc1d9lye5,US,2014
up8qrji6k7,NDF,2014
qztknm6kb7,NDF,2014
wk90gygtcj,NDF,2014
kkbmwxa5ml,US,2014
innr5prey9,NDF,2014
snh2btoxnq,NDF,2014
wkfv2nvsc2,US,2014
ebts6m7xq4,US,2014
mzf3jtgyaz,US,2014
zefd7yyia9,US,2014
u9bl58wtlg,NDF,2014
3ai02kkqgq,US,2014
mhalkc4w9a,NDF,2014
cg09wn6ytu,US,2014
u1kf2krxu7,NDF,2014
h7m6kvw83d,NDF,2014
v08shve4h2,NDF,2014
x7v17g3tx5,NDF,2014
suovt49r3u,NDF,2014
smlddpc44k,NDF,2014
ur7jeee2tc,NDF,2014
lbttjerhrv,NDF,2014
q2aien1lz2,US,2014
vjuxvb32wi,NDF,2014
99vpo9fj5d,US,2014
54l7zri0bb,NDF,2014
9f0h0ux8bm,NDF,2014
fhslfnwi8k,NDF,2014
84r9982fw1,NDF,2014
t3mg621lt3,NDF,2014
9psr4ramhc,NDF,2014
wvkrmcxjna,NDF,2014
bscxx3puli,NDF,2014
ukubebj02j,NDF,2014
th6y78zk4q,NDF,2014
0hson9d0e0,NDF,2014
t1penxipz9,NDF,2014
qm8p85kg9a,NDF,2014
v8ibtnvpr4,NDF,2014
le73ew175t,US,2014
h8csbbeo3y,US,2014
cqikhghdm0,NDF,2014
hz5mimz66g,US,2014
73nkm3dfi2,US,2014
7btp5wvu4v,NDF,2014
76tedfnr8i,NDF,2014
nxcfjtlvdk,NDF,2014
orggm6wtov,NDF,2014
scojulukfu,NDF,2014
s5bipiwowr,NDF,2014
kbtgm5pzco,US,2014
bpqxef1vp5,NDF,2014
kqma5e77n1,NDF,2014
9gg3dxnohe,NDF,2014
b0w40kjpkt,US,2014
w1v435riqc,US,2014
3uo4f5g99k,NDF,2014
jcvpp2voxq,US,2014
dn3lxsnkh9,NDF,2014
qm7a2ypxk6,NDF,2014
dg92uu1yci,US,2014
wlmv17foov,NDF,2014
3pq64r7ph6,NDF,2014
95i97gcf4n,NDF,2014
2seq9kopv3,US,2014
low7m67hm4,NDF,2014
ig5d8qosey,US,2014
sg6tpb4g1f,NDF,2014
2a18gv8mh0,NDF,2014
tx6ub05drw,NDF,2014
krras8ueqd,NDF,2014
46vmfznjp6,NDF,2014
hwczgyd6f3,US,2014
o4ibwuiav6,NDF,2014
8mekk69xmu,NDF,2014
cx1vsjz7vn,NDF,2014
2kip2hxh1a,NDF,2014
zyql94l5bn,NDF,2014
4y6wgw8jxy,NDF,2014
e7cdcpss9w,NDF,2014
yhthzkq8lw,US,2014
6w5js8fj5a,NDF,2014
gg50sg25wm,US,2014
xd1ii36ns5,NDF,2014
mxq55lwsvr,US,2014
0s26z3sat5,NDF,2014
fvngzuga8j,NDF,2014
nomt5bak3i,NDF,2014
a6z7dm6b43,US,2014
ibyj32ijmm,NDF,2014
qy2zpmgddc,NDF,2014
s62adskt4b,NDF,2014
g0gqi2vv1e,NDF,2014
k2cqb4k5hb,US,2014
s8i5mlcbso,NDF,2014
mqysigtly4,NDF,2014
iippbo0qyq,NDF,2014
ttrquqdgxz,NDF,2014
dvuz1onhmp,NDF,2014
41gng57htb,NDF,2014
53k5kd9ozc,US,2014
t9yt9ld19z,NDF,2014
kw5uoa4sgt,NDF,2014
fnrzjlaiwd,US,2014
lmpadt6m85,NDF,2014
evv8vl3iix,US,2014
j3supp5l5n,NDF,2014
nkue5m2dvx,NDF,2014
830xvv63jb,US,2014
5rvwvv8h6x,NDF,2014
f4lb6egqa8,US,2014
8wuvktydfi,NDF,2014
x7wrpolbow,NDF,2014
lo4d1eglzk,NDF,2014
8c0wwqjafj,NDF,2014
zl0doxw137,US,2014
6unvvxbio9,US,2014
93y7lovz23,NDF,2014
7bt6wau8ri,NDF,2014
1nig9awllr,NDF,2014
6pfqalb7ci,US,2014
tg0skjpydn,NDF,2014
rfqyed8noo,NDF,2014
mgmuc5g093,US,2014
n9swappq66,US,2014
d4esdt2s0i,NDF,2014
i7ak58tpo7,NDF,2014
7gertd0qjm,NDF,2014
is8ymm1a61,NDF,2014
xuq8elj2gy,NDF,2014
es77rb716p,US,2014
knhtfdsls0,NDF,2014
v6vmlybxky,NDF,2014
mos18he3by,NDF,2014
sp3tvgel9p,NDF,2014
5pzly9piy7,NDF,2014
946db5bqtl,NDF,2014
cyp7k0r9n2,US,2014
4mv9b3j7fx,NDF,2014
bl8sz9d653,NDF,2014
otgg3z7rdp,NDF,2014
wqd6cvp4cu,NDF,2014
auxb3o6v78,NDF,2014
klpq9clj5g,NDF,2014
zkloyn8lne,NDF,2014
hiupbvp0ay,US,2014
eg4405quxg,US,2014
zpcqdhmmc4,US,2014
6vi9wz0x86,NDF,2014
5oct9nxvop,US,2014
1ixpfl8f83,NDF,2014
v4yxqouvlo,NDF,2014
ybc8wnlfcx,US,2014
1rkb7fgz4x,NDF,2014
cnybo1tie4,US,2014
d27h1bw3kx,NDF,2014
fdkbge637i,NDF,2014
gh6mac8ujz,NDF,2014
h69u5wqzlh,US,2014
72me74hq20,NDF,2014
abbhgh7ghb,NDF,2014
pqggxe4l5a,US,2014
3zlnwg3pxr,NDF,2014
3nw4ytjmi6,NDF,2014
vzl4opbsr7,US,2014
6ggo8gba5r,US,2014
tuskgqcsh5,US,2014
p00rzpgs6j,US,2014
71sndzjzmd,NDF,2014
iaipju0fgy,NDF,2014
87v8p2ccn9,US,2014
20tozj8ssr,US,2014
evucqjckmu,NDF,2014
0hdd8uudhx,US,2014
ji1ltxpjdn,NDF,2014
0ubtvn3nrq,NDF,2014
s30o3t9htc,NDF,2014
3xcp7f3m8o,NDF,2014
xy4xv9uqmu,NDF,2014
h7i6f2vywl,NDF,2014
